"Saxonszám";"Fajta";"Gyartmány";"Tipus";"Funkció";"Különleges tulajdonság";"Felszereltség";"Megjegyzés";"Üzemmód";"Teherbírás";"Emelő magasság";"Első kerék";"Hátsó kerék";"Motor";"Akkumulátor";"Villák";"Tárolás";"Tárolás";"Mező";"Mező";"Eladási ár";"Eladó neve";"Bizonylatszám";"Vételi ár";"Category"
"W-0076";"ELLENSÚLY";"MITSUBISHI";"FD18K";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0077";"ELLENSÚLY";"MITSUBISHI";"FB15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0078";"ELLENSÚLY";"MITSUBISHI";"FD25K";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0079";"ELLENSÚLY";"MITSUBISHI";"FD20N";" n/a";;"NO";;"FŐDARAB";2000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1800;;;0;"Karosszéria elemek"
"W-0080";"ELLENSÚLY";"TOYOTA";"6FG25";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0081";"ELLENSÚLY";"TOYOTA";"7FD18";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1200;;;0;"Karosszéria elemek"
"W-0082";"ELLENSÚLY";"  n/a";"ÜRES";" n/a";;"NO";;"FŐDARAB";0;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;0;;;0;"Karosszéria elemek"
"W-0083";"ELLENSÚLY";"  n/a";"ÜRES";" n/a";;"NO";;"FŐDARAB";0;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;0;;;0;"Karosszéria elemek"
"W-0084";"ELLENSÚLY";"TOYOTA";"8FD15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1200;;;0;"Karosszéria elemek"
"W-0085";"ELLENSÚLY";"TOYOTA";"2FG09";" n/a";;"NO";;"FŐDARAB";900;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;600;;;0;"Karosszéria elemek"
"W-0086";"ELLENSÚLY";"  n/a";"ÜRES";" n/a";;"NO";;"FŐDARAB";0;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;0;;;0;"Karosszéria elemek"
"W-0087";"ELLENSÚLY";"TOYOTA";"6FG15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;900;;;0;"Karosszéria elemek"
"W-0088";"ELLENSÚLY";"MITSUBISHI";"FD35K";" n/a";;"NO";;"FŐDARAB";3500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1350;;;0;"Karosszéria elemek"
"W-0089";"ELLENSÚLY";"CATERPILLAR";"DP18CN";" n/a";;"NO";;"FŐDARAB";2000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1500;;;0;"Karosszéria elemek"
"W-0090";"ELLENSÚLY";"CATERPILLAR";"DP30K";" n/a";;"NO";;"FŐDARAB";3000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0091";"ELLENSÚLY";"TOYOTA";"6FG15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0092";"ELLENSÚLY";"KOMATSU";"FG15T-15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0093";"ELLENSÚLY";"  n/a";"ÜRES";" n/a";;"NO";;"FŐDARAB";0;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;0;;;0;"Karosszéria elemek"
"W-0094";"ELLENSÚLY";"MITSUBISHI";"FD20N";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0095";"ELLENSÚLY";"CATERPILLAR";"FG15N";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0096";"ELLENSÚLY";"  n/a";"ÜRES";" n/a";;"NO";;"FŐDARAB";0;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;0;;;0;"Karosszéria elemek"
"W-0097";"ELLENSÚLY";"  n/a";"ÜRES";" n/a";;"NO";;"FŐDARAB";0;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;0;;;0;"Karosszéria elemek"
"W-0098";"ELLENSÚLY";"  n/a";"ÜRES";" n/a";;"NO";;"FŐDARAB";0;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;0;;;0;"Karosszéria elemek"
"W-0099";"ELLENSÚLY";"  n/a";"ÜRES";" n/a";;"NO";;"FŐDARAB";0;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;0;;;0;"Karosszéria elemek"
"W-0100";"ELLENSÚLY";"MITSUBISHI";"FD18N";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0101";"ELLENSÚLY";"NISSAN";"FD15 (SPAIN) SILVER";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0102";"ELLENSÚLY";"TOYOTA";"7FD25";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0103";"ELLENSÚLY";"KOMATSU";"8FD25";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1800;;;0;"Karosszéria elemek"
"W-0104";"ELLENSÚLY";"TOYOTA";"7FD15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0105";"ELLENSÚLY";"MITSUBISHI";"FG15T";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0106";"ELLENSÚLY";"CATERPILLAR";"DP15N";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1200;;;0;"Karosszéria elemek"
"W-0107";"ELLENSÚLY";"NISSAN";"FD15 (SPAIN)";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;900;;;0;"Karosszéria elemek"
"W-0108";"ELLENSÚLY";"  n/a";"ÜRES";" n/a";;"NO";;"FŐDARAB";0;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;0;;;0;"Karosszéria elemek"
"W-0109";"ELLENSÚLY";"  n/a";"ÜRES";" n/a";;"NO";;"FŐDARAB";0;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;0;;;0;"Karosszéria elemek"
